numbers,stimuli,correctanswer,correctanswer2,condition,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key,accuracy,RTs,participant,gender,age,handedness,frameRate,expName,date
8,lawyer_8.png,a,g,t,1,0,24,6,a,1,0.8509344342,28,f,21,d,60.03657565,SNARC lie 2,2019_Apr_30_0939
6,cop_6.png,g,a,l,3,13,85,20,a,1,0.8509344342,32,f,21,d,60.00791881,SNARC lie 2,2019_Apr_30_1358
8,lawyer_8.png,a,g,t,0,23,23,6,g,1,0.8509362668,12,m,24,d,60.00131965,SNARC lie 2,2019_Apr_17_1403
6,lawyer_6.png,a,g,t,2,23,71,4,g,1,0.8509362671,13,f,19,d,60.00092376,SNARC lie 1,2019_Apr_17_1458
6,lawyer_6.png,a,g,t,0,11,11,4,a,1,0.8509366335,19,f,19,d,60.02878139,SNARC lie 1,2019_Apr_18_1302
7,lawyer_7.png,g,a,t,0,11,11,5,g,1,0.8509366335,19,f,19,d,60.02878139,SNARC lie 1,2019_Apr_18_1302
4,cop_4.png,g,a,l,4,1,97,19,g,1,0.8509373667,25,m,19,s,60.01491534,SNARC lie 1,2019_Apr_24_1610
7,cop_7.png,a,g,l,0,7,7,21,g,1,0.850937733,32,f,21,d,60.00791881,SNARC lie 2,2019_Apr_30_1358
1,lawyer_1.png,g,a,t,0,19,19,0,g,1,0.8509380999,34,f,23,s,60.01557549,SNARC lie 2,2019_May_16_1156
7,lawyer_7.png,g,a,t,1,17,41,13,g,1,0.8509391993,26,f,24,d,60.01636775,SNARC lie 2,2019_Apr_24_1700
9,lawyer_9.png,g,a,t,0,3,3,15,g,1,0.8509399325,22,f,22,d,60.02178155,SNARC lie 2,2019_Apr_18_1558
1,cop_1.png,a,g,l,2,8,56,16,g,1,0.8509402988,31,m,21,d,60.02297006,SNARC lie 1,2019_Apr_30_1303
2,cop_2.png,g,a,l,0,16,16,17,a,1,0.8509406657,18,f,23,d,60.01702786,SNARC lie 2,2019_Apr_18_1207
