numbers,stimuli,correctanswer,correctanswer2,condition,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key,accuracy,RTs,participant,gender,age,handedness,frameRate,expName,date
3,lawyer_3.png,g,a,t,1,7,15,2,a,1,0.5511009991,30,m,26,d,60.02297006,SNARC lie 2,2019_Apr_30_1211
2,lawyer_2.png,a,g,t,0,3,3,1,a,1,0.5511017321,37,m,24,d,60.1277463,SNARC lie 1,2019_May_16_1648
8,lawyer_8.png,a,g,t,0,4,4,6,a,1,0.5511328897,14,m,21,d,60.00686277,SNARC lie 2,2019_Apr_17_1552
4,lawyer_4.png,a,g,t,0,6,6,3,a,1,0.5511376546,27,f,24,d,60.02257397,SNARC lie 1,2019_Apr_29_1114
2,lawyer_2.png,a,g,t,1,0,8,1,g,1,0.5513454943,10,f,21,d,60.01095477,SNARC lie 2,2019_Apr_10_1300
4,lawyer_4.png,a,g,t,1,2,10,3,g,1,0.5513770184,16,f,27,d,60.02680016,SNARC lie 2,2019_Apr_18_1009
4,lawyer_4.png,a,g,t,0,2,2,3,a,1,0.5666830885,4,f,24,d,60.03340485,SNARC lie 2,2019_Apr_09_1700
6,lawyer_6.png,a,g,t,0,5,5,4,g,1,0.5666900531,12,m,24,d,60.00131965,SNARC lie 2,2019_Apr_17_1403
1,lawyer_1.png,g,a,t,0,7,7,0,a,1,0.566713513,1,f,27,d,59.90355943,SNARC lie 1,2019_Apr_01_1630
2,lawyer_2.png,a,g,t,0,0,0,1,a,1,0.566737706,3,f,20,d,60.01201092,SNARC lie 1,2019_Apr_09_1542
1,lawyer_1.png,g,a,t,2,3,19,0,g,1,0.5667743619,3,f,20,d,60.01201092,SNARC lie 1,2019_Apr_09_1542
6,lawyer_6.png,a,g,t,4,3,35,4,g,1,0.5668718668,18,f,23,d,60.01702786,SNARC lie 2,2019_Apr_18_1207
7,lawyer_7.png,g,a,t,4,1,33,5,g,1,0.5668828636,3,f,20,d,60.01201092,SNARC lie 1,2019_Apr_09_1542
8,lawyer_8.png,a,g,t,4,2,34,6,a,1,0.5668879955,13,f,19,d,60.00092376,SNARC lie 1,2019_Apr_17_1458
6,lawyer_6.png,a,g,t,0,2,2,4,g,1,0.5669099889,36,f,20,d,60.02508316,SNARC lie 2,2019_May_16_1508
9,lawyer_9.png,g,a,t,4,3,35,7,a,1,0.5669132881,23,f,24,d,60.01161484,SNARC lie 1,2019_Apr_18_1730
7,lawyer_7.png,g,a,t,1,7,15,5,a,1,0.5669184197,33,f,20,d,60.02283803,SNARC lie 1,2019_Apr_30_1445
9,lawyer_9.png,g,a,t,2,6,22,7,a,1,0.5669360147,32,f,21,d,60.00791881,SNARC lie 2,2019_Apr_30_1358
2,lawyer_2.png,a,g,t,4,3,35,1,g,1,0.5669393138,1,f,27,d,59.90355943,SNARC lie 1,2019_Apr_01_1630
9,lawyer_9.png,g,a,t,4,2,34,7,a,1,0.5670753075,1,f,27,d,59.90355943,SNARC lie 1,2019_Apr_01_1630
7,lawyer_7.png,g,a,t,4,0,32,5,g,1,0.5671222272,4,f,24,d,60.03340485,SNARC lie 2,2019_Apr_09_1700
9,lawyer_9.png,g,a,t,4,3,35,7,a,1,0.5672343944,2,f,28,d,60.06102824,SNARC lie 2,2019_Apr_04_1721
8,lawyer_8.png,a,g,t,1,4,12,6,g,1,0.5672362272,1,f,27,d,59.90355943,SNARC lie 1,2019_Apr_01_1630
6,lawyer_6.png,a,g,t,0,4,4,4,g,1,0.5672912112,3,f,20,d,60.01201092,SNARC lie 1,2019_Apr_09_1542
3,lawyer_3.png,g,a,t,2,4,20,2,g,1,0.5673260344,2,f,28,d,60.06102824,SNARC lie 2,2019_Apr_04_1721
6,lawyer_6.png,a,g,t,0,7,7,4,a,1,0.5673315327,4,f,24,d,60.03340485,SNARC lie 2,2019_Apr_09_1700
4,lawyer_4.png,a,g,t,2,6,22,3,g,1,0.5673318994,2,f,28,d,60.06102824,SNARC lie 2,2019_Apr_04_1721
4,lawyer_4.png,a,g,t,3,7,31,3,g,1,0.5673370312,5,f,22,d,60.06486318,SNARC lie 1,2019_Apr_09_1752
3,lawyer_3.png,g,a,t,2,4,20,2,g,1,0.5673872499,4,f,24,d,60.03340485,SNARC lie 2,2019_Apr_09_1700
7,lawyer_7.png,g,a,t,3,7,31,5,g,1,0.5674462658,27,f,24,d,60.02257397,SNARC lie 1,2019_Apr_29_1114
4,lawyer_4.png,a,g,t,1,0,8,3,g,1,0.5674975845,34,f,23,s,60.01557549,SNARC lie 2,2019_May_16_1156
2,lawyer_2.png,a,g,t,3,5,29,1,a,1,0.5675041825,34,f,23,s,60.01557549,SNARC lie 2,2019_May_16_1156
8,lawyer_8.png,a,g,t,1,7,15,6,a,1,0.5675085812,5,f,22,d,60.06486318,SNARC lie 1,2019_Apr_09_1752
1,lawyer_1.png,g,a,t,0,0,0,0,a,1,0.5675206776,25,m,19,s,60.01491534,SNARC lie 1,2019_Apr_24_1610
8,lawyer_8.png,a,g,t,1,3,11,6,g,1,0.5675206777,4,f,24,d,60.03340485,SNARC lie 2,2019_Apr_09_1700
1,lawyer_1.png,g,a,t,1,5,13,0,g,1,0.5675283754,1,f,27,d,59.90355943,SNARC lie 1,2019_Apr_01_1630
3,lawyer_3.png,g,a,t,0,2,2,2,g,1,0.5675397387,13,f,19,d,60.00092376,SNARC lie 1,2019_Apr_17_1458
2,lawyer_2.png,a,g,t,0,6,6,1,g,1,0.5675445038,25,m,19,s,60.01491534,SNARC lie 1,2019_Apr_24_1610
